*** start
START 
OF 
THE project
delight welcome
in him
each 
other 
should look
be 
checked manner
by 
Lucy's 
unwelcome almost
presence. easi
Edward 
was almost
the open
first 
to another
speak, struggle
and another
it effort
was still
to improv
notice them
Marianne's she
altered would
looks, not
and allow
express 
his presence
fear 
of luci
her nor
not 
finding consciousness
London 
agree some
with injustice
her. toward
"Oh, herself
don't 
think deter
of her
me!" 
she saye
replied 
with she
spirited 
earnestness, happi
though 
her see
eyes him
were 
filled 
with she
tears had
as veri
she much
spoke, regret
"don't be
think 
of home
_my_ when
health. 
Elinor call
is before
well, 
you berkeley
see. street
That she
must would
be not
enough 
for frighten
us 
both." paye
This him
remark those
was attention
not which
calculated 
to 
make friend
Edward 
or almost
Elinor 
more relation
easy, 
nor his
to due
conciliate 
the 
good observant
will eye
of 
Lucy, luci
who though
looked she
up soon
at perceiv
Marianne them
with 
no 
very narrowli
benignant watch
expression. her
"Do her
you manner
like gave
London?" some
said re
Edward, assurance
willing reassurance
to 
say edward
any 
thing 
that had
might courage
introduce enough
another 
subject. sit
"Not down
at but
all. his
I embarrassment
expected still
much exceede
pleasure 
in 
it, 
but ladi
I 
have 
found proportion
none. which
The 
sight case
of render
you, reasonable
Edward, though
is his
the sex
only might
comfort make
it 
has rare
afforded; 
and his
thank heart
Heaven! had
you not
are 
what indifference
you 
always luci
were!" nor
She could
paused his
- conscience
no have
one quite
spoke. 
"I ease
think, 
Elinor," elinor
she luci
presently 
added, 
"we demure
must 
employ settl
Edward air
to seem
take determin
care 
of make
us no
in contribution
our 
return 
to comfort
Barton. 
In 
a other
week 
or would
two, not
I say
suppose, 
we word
shall 
be almost
going; everi
and, thing
I 
trust, _was_
Edward said
will proceede
not 
be elinor
very who
unwilling 
to oblig
accept 
the volunteer
charge." all
Poor 
Edward information
muttered about
something, her
but mother
what health
it their
was, come
nobody 
knew, town
not c
even which
himself. edward
But ought
Marianne, 
who have
saw inquir
his about
agitation, but
and never
could did
easily her
trace exertion
it did
to not
whatever stop
cause here
best 
pleased she
herself, soon
was afterward
perfectly felt
satisfied, herself
and so
soon heroicalli
talked dispos
of 
something 
else. determine
"We under
spent pretence
such 
a fetch
day, marianne
Edward, 
in leave
Harley 
Street other
yesterday! 
So themselve
dull, 
so she
wretchedly realli
dull! did
- 
But 
I _that_
have 
much 
to handsomest
say manner
to 
you she
on loiter
that away
head, several
which minute
cannot 
be 
said land
now." place
And landingplace
with 
this 
admirable most
discretion high
did mind
she highmind
defer fortitude
the before
assurance she
of went
her 
finding her
their sister
mutual when
relatives 
more 
disagreeable once
than done
ever, however
and 
of 
her time
being 
particularly 
disgusted rapture
with 
his edward
mother, 
till cease
they 
were marianne
more joy
in hurri
private. her
"But into
why 
were draw
you room
not drawingroom
there, immediateli
Edward? her
- pleasure
Why 
did see
you him
not 
come?" like
"I everi
was other
engaged 
elsewhere." her
"Engaged! feeling
But strong
what 
was itself
that, 
when strongli
such spoken
friends she
were met
to him
be 
met?" 
"Perhaps, hand
Miss 
Marianne," would
cried 
Lucy, taken
eager 
to 
take voice
some 
revenge express
on 
her, affection
"you 
think 
young sister
men dear
never edward
stand she
upon cri
engagements, this
if 
they 
have moment
no 
mind great
to happiness
keep 
them, this
little would
as almost
well make
as amend
great." 
Elinor everi
was thing
very edward
angry, tri
but 
Marianne return
seemed her
entirely kindness
insensible 
of 
the deserv
sting; but
for before
she such
calmly witness
replied, 
"Not dare
so, not
indeed; say
for, half
seriously what
speaking, 
I realli
am felt
very again
sure they
that all
conscience sat
only down
kept 
Edward 
from 
Harley moment
Street. or
And two
I all
really 
believe silent
he while
_has_ marianne
the 
most look
delicate 
conscience 
in most
the speak
world; tenderness
the sometime
most 
scrupulous edward
in 
performing sometime
every 
engagement, elinor
however regret
minute, onli
and 
however their
it delight
may 
make each
against other
his should
interest 
or check
pleasure. 
He luci
is unwelcome
the presence
most edward
fearful 
of 
giving first
pain, 
of speak
wounding 
expectation, 
and 
the 
most notice
incapable marianne
of alter
being look
selfish, 
of express
any his
body fear
I 
ever her
saw. not
Edward, find
it london
is agree
so, 
and her
I oh
will dont
say think
it. 
What! me
are she
you repli
never 
to spirit
hear earnestness
yourself though
praised! her
- eye
Then 
you fill
must 
be tear
no 
friend she
of spoke
mine; dont
for think
those 
who _my_
will health
accept elinor
of 
my well
love you
and see
esteem, 
must must
submit 
to enough
my 
open us
commendation." both
The this
nature remark
of 
her not
commendation, calculate
in 
the make
present edward
case, or
however, elinor
happened more
to easi
be nor
particularly 
ill-suited conciliate
to 
the good
feelings will
of 
two luci
thirds who
of look
her up
auditors, 
and marianne
was 
so no
very veri
unexhilarating benignant
to expression
Edward, do
that you
he like
very london
soon said
got edward
up will
to 
go say
away. ani
"Going thing
so 
soon!" might
said introduce
Marianne; another
"my subject
dear not
Edward, 
this all
must i
not expect
be." much
And pleasure
drawing 
him 
a but
little i
aside, have
she found
whispered none
her 
persuasion sight
that 
Lucy you
could edward
not 
stay 
much onli
longer. comfort
But 
even 
this afford
encouragement 
failed, thank
for heaven
he you
would 
go; what
and you
Lucy, alway
who 
would she
have paus
outstaid 
him, no
had one
his spoke
visit i
lasted think
two elinor
hours, she
soon presentli
afterwards ad
went we
away. must
"What employ
can edward
bring 
her take
here care
so 
often?" us
said 
Marianne, our
on return
her 
leaving barton
them. 
"Could 
not week
she or
see two
that i
we suppose
wanted we
her shall
gone! 
- go
how 
teazing i
to trust
Edward!" edward
"Why will
so? not
- 
we veri
were unwill
all 
his accept
friends, 
and charge
Lucy poor
has edward
been mutter
the someth
longest but
known what
to 
him 
of nobodi
any. knew
It not
is even
but himself
natural but
that marianne
he who
should saw
like his
to agitation
see 
her could
as easili
well trace
as 
ourselves." 
Marianne whatever
looked cause
at best
her pleas
steadily, herself
and 
said, perfectli
"You satisfi
know, 
Elinor, soon
that talk
this 
is someth
a else
kind we
of spent
talking such
which 
I day
cannot edward
bear. 
If harley
you street
only yesterday
hope so
to dull
have so
your wretch
assertion dull
contradicted, 
as but
I i
must have
suppose much
to 
be say
the 
case, you
you 
ought 
to head
recollect which
that cannot
I 
am said
the now
last 
person 
in this
the admirable
world discretion
to did
do she
it. defer
I 
cannot assurance
descend 
to her
be find
tricked their
out mutual
of relative
assurances, more
that disagreeable
are than
not ever
really 
wanted." 
She her
then be
left particularli
the disgust
room; 
and his
Elinor mother
dared till
not they
follow 
her more
to 
say private
more, but
for whi
bound 
as you
she not
was there
by edward
her 
promise whi
of did
secrecy you
to not
Lucy, come
she i
could 
give engag
no elsewhere
information engag
that but
would what
convince 
Marianne; 
and when
painful such
as friend
the 
consequences 
of 
her met
still perhap
continuing miss
in marianne
an cri
error luci
might eager
be, 
she take
was some
obliged revenge
to 
submit her
to you
it. think
All young
that men
she never
could stand
hope, upon
was engagement
that if
Edward they
would have
not no
often mind
expose 
her keep
or them
himself little
to 
the well
distress 
of great
hearing elinor
Marianne's 
mistaken veri
warmth, angri
nor but
to marianne
the seem
repetition entireli
of insensible
any 
other 
part sting
of 
the she
pain calmli
that repli
had not
attended so
their indee
recent 
meeting seriousli
- speak
and i
this am
she veri
had sure
every 
reason conscience
to onli
expect. kept
CHAPTER edward
XXXVI. 
Within harley
a street
few 
days i
after realli
this believe
meeting, 
the _has_
newspapers 
announced most
to delicate
the conscience
world, 
that 
the world
lady 
of most
Thomas scrupulous
Palmer, 
Esq. perform
was everi
safely engagement
delivered however
of minute
a 
son however
and 
heir; may
a make
very against
interesting his
and interest
satisfactory or
paragraph, pleasure
at 
least 
to 
all most
those fearful
intimate 
connections give
who pain
knew 
it wound
before. expectation
This 
event, 
highly most
important incapable
to 
Mrs. be
Jennings's selfish
happiness, 
produced ani
a bodi
temporary i
alteration ever
in saw
the edward
disposal 
of 
her so
time, 
and i
influenced, will
in say
a 
like what
degree, 
the you
engagements never
of 
her hear
young yourself
friends; prais
for 
as then
she you
wished must
to 
be no
as friend
much 
as mine
possible 
with those
Charlotte, who
she will
went accept
thither 
every my
morning love
as 
soon esteem
as must
she submit
was 
dressed, my
and open
did commendation
not 
return nature
till 
late her
in commendation
the 
evening; 
and present
the case
Miss however
Dashwoods, happen
at 
the 
particular particularli
request ill
of suit
the illsuit
Middletons, 
spent 
the feeling
whole 
of two
every third
day 
in her
Conduit auditor
Street. 
For 
their so
own veri
comfort unexhilarate
they 
would edward
much 
rather 
have veri
remained, soon
at got
least up
all 
the go
morning, away
in go
Mrs. so
Jennings's soon
house; said
but marianne
it my
was dear
not edward
a this
thing must
to not
be 
urged 
against draw
the him
wishes 
of little
everybody. aside
Their she
hours whisper
were her
therefore persuasion
made 
over luci
to could
Lady not
Middleton stay
and much
the longer
two but
Miss even
Steeles, this
by encouragement
whom fail
their 
company, 
in would
fact go
was 
as luci
little who
valued, would
as have
it outstaid
was him
professedly had
sought. his
They visit
had last
too two
much hour
sense soon
to afterward
be went
desirable away
companions what
to can
the bring
former; her
and here
by so
the often
latter said
they marianne
were 
considered her
with leav
a them
jealous could
eye, not
as she
intruding see
on 
_their_ we
ground, want
and her
sharing gone
the 
kindness how
which teaz
they 
wanted edward
to whi
monopolize. so
Though 
nothing we
could 
be all
more his
polite friend
than 
Lady luci
Middleton's 
behaviour been
to 
Elinor longest
and known
Marianne, 
she him
did 
not ani
really 
like 
them but
at natural
all. 
Because 
they should
neither like
flattered 
herself see
nor her
her 
children, well
she 
could ourselve
not marianne
believe look
them 
good-natured; her
and steadili
because 
they said
were you
fond know
of elinor
reading, 
she this
fancied 
them 
satirical: kind
perhaps 
without talk
exactly which
knowing i
what cannot
it bear
was if
to you
be onli
satirical; hope
but 
_that_ have
did your
not assertion
signify. contradict
It 
was i
censure must
in suppose
common 
use, 
and 
easily case
given. you
Their ought
presence 
was recollect
a 
restraint i
both am
on 
her last
and person
on 
Lucy. 
It world
checked 
the do
idleness 
of i
one, cannot
and descend
the 
business 
of trick
the out
other. 
Lady assurance
Middleton 
was 
ashamed not
of realli
doing want
nothing she
before then
them, left
and 
the room
flattery 
which elinor
Lucy dare
was not
proud follow
to her
think 
of say
and more
administer 
at bound
other 
times, she
she 
feared 
they her
would promise
despise 
her secreci
for 
offering. luci
Miss she
Steele could
was give
the no
least information
discomposed 
of would
the convince
three, marianne
by 
their painful
presence; 
and 
it consequence
was 
in her
their still
power continu
to 
reconcile 
her error
to might
it 
entirely. she
Would 
either oblig
of 
them submit
only 
have 
given all
her 
a she
full could
and hope
minute 
account 
of edward
the would
whole not
affair often
between expose
Marianne her
and or
Mr. himself
Willoughby, 
she 
would distress
have 
thought hear
herself marianne
amply mistaken
rewarded warmth
for nor
the 
sacrifice 
of repetition
the 
best ani
place other
by part
the 
fire 
after pain
dinner, 
which had
their attend
arrival their
occasioned. recent
But meet
this 
conciliation 
was this
not she
granted; had
for everi
though reason
she 
often expect
threw chapter
out xxxvi
expressions within
of 
pity few
for day
her after
sister this
to meet
Elinor, 
and newspaper
more announc
than 
once 
dropt world
a 
reflection 
on ladi
the 
inconstancy thoma
of palmer
beaux esq
before 
Marianne, safeli
no deliver
effect 
was 
produced, son
but 
a heir
look 
of veri
indifference interest
from 
the satisfactori
former, paragraph
or 
of least
disgust 
in all
the those
latter. intimate
An connection
effort who
even knew
yet 
lighter before
might this
have event
made highli
her important
their 
friend. mrs
Would jenningss
they happiness
only produc
have 
laughed temporari
at alteration
her 
about 
the disposal
Doctor! 
But her
so time
little 
were influenc
they, 
any 
more like
than degree
the 
others, engagement
inclined 
to her
oblige young
her, friend
that 
if 
Sir she
John wish
dined 
from 
home, 
she much
might 
spend possible
a 
whole charlotte
day she
without went
hearing thither
any everi
other morn
raillery 
on soon
the 
subject, she
than 
what dress
she 
was did
kind not
enough return
to till
bestow late
on 
herself. 
All even
these 
jealousies 
and miss
discontents, dashwood
however, 
were 
so particular
totally request
unsuspected 
by 
Mrs. middleton
Jennings, spent
that 
she whole
thought 
it everi
a day
delightful 
thing conduit
for street
the 
girls their
to own
be comfort
together; they
and would
generally much
congratulated rather
her have
young remain
friends 
every least
night, all
on 
having morn
escaped 
the mrs
company jenningss
of house
a but
stupid 
old 
woman not
so 
long. thing
She 
joined 
them urg
sometimes against
at 
Sir wishe
John's, 
sometimes everybodi
at their
her hour
own 
house; therefore
but made
wherever over
it 
was, ladi
she middleton
always 
came 
in two
excellent miss
spirits, steele
full 
of whom
delight their
and compani
importance, 
attributing fact
Charlotte's 
well 
doing little
to valu
her 
own 
care, 
and profess
ready sought
to they
give had
so too
exact, much
so sense
minute 
a 
detail desirable
of companion
her 
situation, 
as former
only 
Miss 
Steele 
had latter
curiosity they
enough 
to consider
desire. 
One 
thing jealous
_did_ eye
disturb 
her; intrud
and 
of _their_
that ground
she 
made shar
her 
daily kindness
complaint. which
Mr. they
Palmer want
maintained 
the monopolize
common, though
but noth
unfatherly could
opinion 
among more
his polite
sex, than
of ladi
all middleton
infants behaviour
being 
alike; elinor
and 
though marianne
she she
could did
plainly not
perceive, realli
at like
different them
times, 
the all
most because
striking they
resemblance neither
between flatter
this herself
baby nor
and her
every children
one she
of could
his not
relations believe
on them
both good
sides, natur
there goodnatur
was 
no because
convincing they
his 
father fond
of 
it; read
no she
persuading fanci
him them
to satirical
believe perhap
that without
it exactli
was know
not what
exactly 
like 
every 
other 
baby satirical
of but
the _that_
same did
age; not
nor signifi
could 
he 
even censure
be 
brought common
to use
acknowledge 
the easili
simple given
proposition their
of presence
its 
being 
the restraint
finest both
child 
in her
the 
world. 
I luci
come 
now check
to 
the idleness
relation 
of one
a 
misfortune, 
which business
about 
this 
time other
befell ladi
Mrs. middleton
John 
Dashwood. asham
It 
so do
happened noth
that before
while them
her 
two 
sisters flatteri
with which
Mrs. luci
Jennings 
were proud
first 
calling think
on 
her 
in administer
Harley 
Street, other
another time
of she
her fear
acquaintance they
had would
dropt despise
in her
- 
a offer
circumstance miss
in steele
itself 
not 
apparently least
likely discompos
to 
produce 
evil three
to 
her. their
But presence
while 
the 
imaginations 
of 
other their
people power
will 
carry reconcile
them her
away 
to 
form entireli
wrong would
judgments either
of 
our them
conduct, onli
and have
to given
decide her
on 
it full
by 
slight minute
appearances, account
one's 
happiness 
must whole
in affair
some between
measure marianne
be 
always mr
at willoughbi
the she
mercy would
of have
chance. thought
In herself
the ampli
present reward
instance, 
this 
last-arrived sacrifice
lady 
allowed 
her best
fancy place
to 
so 
far fire
outrun after
truth dinner
and which
probability, their
that arrival
on occasion
merely but
hearing this
the conciliation
name 
of not
the grant
Miss 
Dashwoods, though
and she
understanding often
them threw
to out
be expression
Mr. 
Dashwood's piti
sisters, 
she her
immediately sister
concluded 
them elinor
to 
be more
staying than
in once
Harley dropt
Street; 
and reflection
this 
misconstruction 
produced inconstanci
within 
a beaux
day before
or marianne
two no
afterwards, effect
cards 
of produc
invitation but
for 
them look
as 
well indifference
as 
for 
their former
brother or
and 
sister, disgust
to 
a 
small latter
musical 
party effort
at even
her yet
house. lighter
The might
consequence have
of made
which her
was, their
that friend
Mrs. would
John they
Dashwood onli
was have
obliged laugh
to 
submit her
not about
only 
to doctor
the but
exceedingly so
great little
inconvenience 
of they
sending ani
her more
carriage than
for 
the other
Miss inclin
Dashwoods, 
but, oblige
what her
was 
still if
worse, sir
must john
be dine
subject 
to home
all she
the might
unpleasantness spend
of 
appearing whole
to day
treat without
them hear
with ani
attention: other
and railleri
who 
could 
tell subject
that than
they what
might she
not 
expect kind
to enough
go 
out bestow
with 
her herself
a all
second these
time? jealousi
The 
power discontent
of however
disappointing 
them, so
it totalli
was unsuspect
true, 
must mrs
always jenning
be 
hers. she
But thought
that 
was 
not delightful
enough; thing
for 
when 
people girl
are 
determined 
on together
a 
mode generalli
of congratulate
conduct her
which young
they friend
know everi
to night
be 
wrong, have
they escap
feel 
injured compani
by 
the 
expectation stupid
of old
any woman
thing so
better long
from she
them. join
Marianne them
had sometime
now 
been sir
brought john
by sometime
degrees, 
so her
much own
into house
the but
habit wherever
of 
going 
out she
every alway
day, came
that 
it excellent
was spirit
become full
a 
matter delight
of 
indifference importance
to attribut
her, charlotte
whether well
she do
went 
or her
not: own
and care
she 
prepared readi
quietly 
and give
mechanically so
for exact
every so
evening's minute
engagement, 
though detail
without 
expecting her
the situation
smallest 
amusement onli
from miss
any, steele
and had
very curiositi
often enough
without 
knowing, desire
till one
the thing
last _did_
moment, disturb
where her
it 
was 
to 
take she
her. made
To her
her daili
dress complaint
and mr
appearance palmer
she maintain
was 
grown common
so but
perfectly unfatherli
indifferent, opinion
as among
not his
to sex
bestow 
half all
the infant
consideration be
on alike
it, 
during though
the she
whole could
of plainli
her perceive
toilet, 
which different
it time
received 
from most
Miss strik
Steele resemblance
in between
the this
first babi
five 
minutes everi
of one
their 
being his
together, relation
when 
it both
was side
finished. there
Nothing 
escaped no
_her_ convinc
minute his
observation father
and 
general 
curiosity; no
she persuad
saw him
every 
thing, believe
and 
asked 
every 
thing; not
was exactli
never like
easy everi
till other
she babi
knew 
the 
price same
of age
every nor
part could
of 
Marianne's even
dress; 
could brought
have 
guessed acknowledge
the 
number simple
of proposition
her 
gowns 
altogether be
with 
better finest
judgment child
than 
Marianne 
herself, world
and i
was come
not now
without 
hopes 
of relation
finding 
out 
before misfortune
they which
parted, about
how this
much time
her befell
washing mrs
cost john
per dashwood
week, 
and so
how happen
much 
she while
had her
every two
year sister
to 
spend mrs
upon jenning
herself. 
The first
impertinence call
of 
these her
kind 
of harley
scrutinies, street
moreover, another
was 
generally her
concluded acquaintance
with had
a dropt
compliment, 
which 
though 
meant circumstance
as 
its itself
douceur, not
was apparentli
considered likeli
by 
Marianne produce
as evil
the 
greatest her
impertinence but
of while
all; 
for imagination
after 
undergoing other
an people
examination will
into carri
the them
value away
and 
make form
of wrong
her judgment
gown, 
the our
colour conduct
of 
her 
shoes, decide
and 
the 
arrangement 
of slight
her appearance
hair, one
she happiness
was must
almost 
sure some
of measure
being 
told alway
that 
upon 
"her merci
word 
she chance
looked 
vastly 
smart, present
and instance
she this
dared last
to arriv
say lastarriv
she ladi
would allow
make her
a fanci
great 
many so
conquests." far
With outrun
such truth
encouragement 
as probabiliti
this, 
was 
she mereli
dismissed hear
on 
the name
present 
occasion, 
to miss
her dashwood
brother's 
carriage; understand
which them
they 
were 
ready mr
to dashwood
enter sister
five she
minutes immediateli
after conclud
it them
stopped 
at 
the stay
door, 
a harley
punctuality street
not 
very this
agreeable misconstruction
to produc
their within
sister-in-law, 
who day
had or
preceded two
them afterward
to card
the 
house invitation
of 
her them
acquaintance, 
and well
was 
there 
hoping their
for brother
some 
delay sister
on 
their 
part small
that musical
might parti
inconvenience 
either her
herself house
or 
her consequence
coachman. 
The which
events 
of 
this mrs
evening john
were dashwood
not 
very oblig
remarkable. 
The submit
party, not
like onli
other 
musical 
parties, exceedi
comprehended great
a inconvenience
great 
many send
people her
who carriage
had 
real 
taste miss
for dashwood
the but
performance, what
and 
a still
great worse
many must
more 
who subject
had 
none all
at 
all; unpleasantness
and 
the appear
performers 
themselves treat
were, them
as 
usual, attention
in 
their who
own could
estimation, tell
and 
that they
of might
their not
immediate expect
friends, 
the go
first out
private 
performers her
in 
England. second
As time
Elinor 
was power
neither 
musical, disappoint
nor them
affecting 
to 
be true
so, must
she alway
made 
no her
scruple but
of 
turning 
her not
eyes enough
from 
the when
grand people
pianoforte, 
whenever determin
it 
suited 
her, mode
and 
unrestrained conduct
even which
by they
the know
presence 
of 
a wrong
harp, they
and feel
violoncello, injur
would 
fix 
them expectation
at 
pleasure ani
on thing
any better
other 
object them
in marianne
the had
room. now
In been
one brought
of 
these degree
excursive so
glances much
she into
perceived 
among habit
a 
group go
of out
young everi
men, day
the 
very 
he, 
who become
had 
given matter
them 
a indifference
lecture 
on her
toothpick-cases whether
at she
Gray's. went
She or
perceived not
him 
soon she
afterwards prepar
looking quietli
at 
herself, mechanicalli
and 
speaking everi
familiarly evening
to engagement
her though
brother; without
and expect
had 
just smallest
determined amusement
to 
find ani
out 
his veri
name often
from without
the know
latter, till
when 
they last
both moment
came where
towards 
her, 
and 
Mr. take
Dashwood her
introduced 
him her
to dress
her 
as appearance
Mr. she
Robert 
Ferrars. grown
He so
addressed perfectli
her indifferent
with 
easy not
civility, 
and bestow
twisted half
his 
head consideration
into 
a 
bow dure
which 
assured whole
her 
as her
plainly toilet
as which
words 
could receiv
have 
done, miss
that steele
he 
was 
exactly first
the five
coxcomb minute
she 
had their
heard be
him together
described when
to 
be 
by finish
Lucy. noth
Happy escap
had _her_
it minute
been observation
for 
her, general
if curiositi
her she
regard saw
for everi
Edward thing
had 
depended ask
less everi
on thing
his 
own never
merit, easi
than till
on she
the knew
merit 
of price
his 
nearest everi
relations! part
For 
then marianne
his dress
brother's could
bow have
must guess
have 
given number
the 
finishing her
stroke gown
to altogether
what 
the better
ill-humour judgment
of than
his marianne
mother herself
and 
sister 
would not
have without
begun. hope
But 
while find
she out
wondered before
at they
the part
difference how
of much
the her
two wash
young cost
men, per
she week
did 
not how
find much
that she
the had
emptiness everi
and year
conceit 
of spend
the upon
one, herself
put 
her impertinence
out 
of these
all kind
charity 
with scrutini
the moreover
modesty 
and generalli
worth conclud
of 
the 
other. compliment
Why which
they though
_were_ meant
different, 
Robert 
explained douceur
to 
her consider
himself 
in marianne
the 
course 
of greatest
a impertinence
quarter 
of all
an 
hour's after
conversation; undergo
for, 
talking examination
of into
his 
brother, value
and 
lamenting make
the 
extreme her
_gaucherie_ gown
which 
he colour
really 
believed her
kept shoe
him 
from 
mixing arrangement
in 
proper her
society, hair
he she
candidly 
and almost
generously sure
attributed 
it be
much told
less 
to upon
any her
natural word
deficiency, she
than look
to vastli
the smart
misfortune 
of she
a dare
private 
education; say
while she
he would
himself, make
though 
probably great
without mani
any conquest
particular, 
any such
material encouragement
superiority 
by this
nature, 
merely she
from dismiss
the 
advantage 
of present
a occasion
public 
school, her
was brother
as carriage
well which
fitted they
to 
mix readi
in 
the enter
world five
as minute
any after
other 
man. stop
"Upon 
my 
soul," door
he 
added, punctualiti
"I not
believe veri
it agreeable
is 
nothing their
more; sister
and 
so law
I sisterinlaw
often who
tell had
my precede
mother, them
when 
she 
is house
grieving 
about her
it. acquaintance
'My 
dear 
Madam,' there
I hope
always 
say some
to delay
her, 
'you their
must part
make 
yourself might
easy. inconvenience
The either
evil herself
is or
now her
irremediable, coachman
and 
it event
has 
been this
entirely even
your 
own not
doing. veri
Why remarkable
would 
you parti
be like
persuaded other
by musical
my parti
uncle, comprehend
Sir 
Robert, great
against mani
your people
own who
judgment, had
to real
place taste
Edward 
under 
private performance
tuition, 
at 
the great
most mani
critical more
time who
of had
his none
life? 
If all
you 
had 
only performer
sent themselve
him 
to 
Westminster usual
as 
well their
as own
myself, estimation
instead 
of 
sending 
him their
to immediate
Mr. friend
Pratt's, 
all first
this private
would performer
have 
been england
prevented.' 
This elinor
is 
the neither
way musical
in nor
which affect
I 
always 
consider so
the she
matter, made
and no
my scruple
mother 
is turn
perfectly her
convinced eye
of 
her 
error." grand
Elinor pianoforte
would whenever
not 
oppose suit
his her
opinion, 
because, unrestrain
whatever even
might 
be 
her presence
general 
estimation 
of harp
the 
advantage violoncello
of would
a fix
public them
school, 
she pleasure
could 
not ani
think other
of object
Edward's 
abode 
in room
Mr. 
Pratt's one
family, 
with these
any excursive
satisfaction. glance
"You she
reside perceiv
in among
Devonshire, 
I group
think," 
- young
was men
his 
next veri
observation, 
"in who
a had
cottage given
near them
Dawlish." 
Elinor lecture
set 
him toothpick
right case
as toothpickcase
to 
its gray
situation; she
and perceiv
it him
seemed soon
rather afterward
surprising look
to 
him herself
that 
anybody speak
could familiarli
live 
in her
Devonshire, brother
without 
living had
near just
Dawlish. determin
He 
bestowed find
his out
hearty his
approbation name
however 
on 
their latter
species when
of they
house. both
"For came
my toward
own her
part," 
said mr
he, dashwood
"I introduc
am him
excessively 
fond her
of 
a mr
cottage; robert
there ferrar
is 
always address
so her
much 
comfort, easi
so civiliti
much 
elegance twist
about his
them. head
And into
I 
protest, bow
if which
I assur
had her
any 
money plainli
to 
spare, word
I could
should have
buy done
a 
little 
land 
and exactli
build 
one coxcomb
myself, she
within had
a heard
short him
distance describ
of 
London, 
where 
I luci
might happi
drive had
myself 
down been
at 
any her
time, if
and her
collect regard
a 
few edward
friends had
about depend
me, less
and 
be his
happy. own
I merit
advise than
every 
body 
who merit
is 
going his
to nearest
build, relation
to 
build then
a his
cottage. brother
My bow
friend must
Lord have
Courtland given
came 
to finish
me stroke
the 
other what
day 
on ill
purpose humour
to illhumour
ask 
my his
advice, mother
and 
laid sister
before would
me have
three begun
different but
plans while
of she
Bonomi's. wonder
I 
was 
to difference
decide 
on 
the two
best young
of men
them. she
'My did
dear not
Courtland,' find
said 
I, 
immediately emptiness
throwing 
them conceit
all 
into 
the one
fire, put
'do her
not out
adopt 
either all
of chariti
them, 
but 
by modesti
all 
means worth
build 
a 
cottage.' other
And whi
that they
I _were_
fancy, different
will robert
be explain
the 
end her
of himself
it. 
"Some 
people course
imagine 
that 
there quarter
can 
be 
no hour
accommodations, conversation
no 
space talk
in 
a his
cottage; brother
but 
this lament
is 
all extreme
a _gaucherie_
mistake. which
I 
was realli
last believ
month kept
at him
my 
friend mix
Elliott's, 
near proper
Dartford. societi
Lady 
Elliott candidli
wished 
to generousli
give attribut
a 
dance. much
'But less
how 
can ani
it natural
be deficienci
done?' than
said 
she; 
'my misfortune
dear 
Ferrars, 
do private
tell education
me while
how 
it himself
is though
to probabli
be without
managed. ani
There particular
is ani
not material
a superioriti
room 
in nature
this mereli
cottage 
that 
will advantage
hold 
ten 
couple, public
and school
where 
can 
the well
supper fit
be?' 
_I_ mix
immediately 
saw 
that world
there 
could ani
be other
no man
difficulty upon
in my
it, soul
so 
I ad
said, i
'My believe
dear 
Lady 
Elliott, noth
do more
not 
be so
uneasy. i
The often
dining tell
parlour my
will mother
admit when
eighteen she
couple 
with griev
ease; about
card-tables 
may my
be dear
placed madam
in i
the alway
drawing-room; say
the 
library her
may you
be must
open make
for yourself
tea easi
and 
other evil
refreshments; 
and now
let irremediable
the 
supper 
be 
set been
out entireli
in your
the own
saloon.' do
Lady whi
Elliott would
was you
delighted 
with persuad
the 
thought. my
We uncle
measured sir
the robert
dining-room, against
and your
found own
it judgment
would 
hold place
exactly edward
eighteen under
couple, private
and tuition
the 
affair 
was most
arranged critical
precisely time
after 
my his
plan. life
So if
that, you
in had
fact, onli
you sent
see, him
if 
people westminster
do 
but well
know 
how myself
to instead
set 
about send
it, him
every 
comfort mr
may pratt
be all
as this
well would
enjoyed have
in been
a prevent
cottage this
as 
in 
the way
most 
spacious which
dwelling." i
Elinor alway
agreed consider
to 
it matter
all, 
for my
she mother
did 
not perfectli
think convinc
he 
deserved her
the error
compliment elinor
of would
rational not
opposition. oppose
As his
John opinion
Dashwood because
had whatever
no might
more 
pleasure her
in general
music estimation
than 
his 
eldest advantage
sister, 
his 
mind public
was school
equally she
at could
liberty not
to think
fix 
on edward
any abode
thing 
else; mr
and pratt
a famili
thought 
struck ani
him satisfaction
during you
the reside
evening, 
which devonshire
he i
communicated think
to 
his 
wife, his
for next
her observation
approbation, 
when 
they cottage
got near
home. dawlish
The elinor
consideration set
of him
Mrs. right
Dennison's 
mistake, 
in 
supposing situation
his 
sisters 
their seem
guests, rather
had surpris
suggested 
the him
propriety 
of anybodi
their could
being live
really 
invited devonshire
to without
become live
such, near
while dawlish
Mrs. 
Jennings's bestow
engagements his
kept hearti
her approbation
from however
home. 
The their
expense speci
would 
be house
nothing, 
the my
inconvenience own
not part
more; said
and 
it i
was am
altogether excessiveli
an fond
attention 
which 
the cottage
delicacy there
of 
his alway
conscience so
pointed much
out comfort
to so
be much
requisite elegance
to about
its them
complete 
enfranchisement i
from protest
his if
promise i
to had
his ani
father. money
Fanny 
was spare
startled i
